variant,vac_studies,vac_samples,vac_s_fold,vac_i_fold,vac_r_fold,vac_num_s_fold,vac_num_i_fold,vac_num_r_fold,cp_studies,cp_samples,cp_s_fold,cp_i_fold,cp_r_fold,cp_num_s_fold,cp_num_i_fold,cp_num_r_fold
B.1.1.7,21,631,76%,18%,6%,479,112,40,20,486,75%,22%,3%,366,107,13
B.1.351,18,418,17%,50%,33%,72,207,139,21,441,28%,39%,33%,122,170,149
P.1,6,144,53%,28%,19%,76,40,28,7,115,50%,43%,7%,58,49,8
B.1.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.1.427/9,4,115,74%,23%,3%,85,26,4,4,55,49%,45%,6%,27,25,3
N501Y,9,125,100%,0,0,125,0,0,6,148,71%,29%,0,105,43,0
E484K,7,75,48%,49%,3%,36,37,2,6,93,61%,28%,11%,57,26,10
K417N,5,77,97%,3%,0,75,2,0,4,69,97%,3%,0,67,2,0
L452R,1,6,83%,17%,0,5,1,0,2,8,50%,38%,12%,4,3,1
N439K,2,26,100%,0,0,26,0,0,1,3,100%,0,0,3,0,0
Y453F,1,15,100%,0,0,15,0,0,1,14,64%,36%,0,9,5,0
∆69/70,1,22,100%,0,0,22,0,0,4,77,53%,47%,0,41,36,0
∆144,1,22,100%,0,0,22,0,0,1,20,90%,10%,0,18,2,0
